iter	Passed	Remaining
578	4759	3460
579	4768	3452
580	4779	3446
581	4787	3438
582	4796	3430
583	4805	3423
584	4812	3414
585	4821	3406
586	4830	3398
587	4837	3389
588	4844	3380
589	4853	3372
590	4862	3364
591	4872	3358
592	4881	3350
593	4891	3343
594	4900	3335
595	4908	3327
596	4917	3319
597	4926	3311
598	4935	3304
599	4944	3296
600	4953	3288
601	4961	3279
602	4967	3270
603	4975	3262
604	4983	3253
605	4991	3245
606	4998	3236
607	5006	3228
608	5015	3219
609	5023	3211
610	5031	3203
611	5039	3194
612	5045	3185
613	5053	3177
614	5060	3168
615	5070	3160
616	5078	3152
617	5087	3144
618	5096	3137
619	5105	3129
620	5114	3121
621	5127	3115
622	5136	3108
623	5143	3099
624	5154	3092
625	5163	3084
626	5172	3076
627	5179	3068
628	5188	3060
629	5197	3052
630	5205	3044
631	5214	3036
632	5222	3028
633	5231	3019
634	5240	3011
635	5247	3003
636	5257	2995
637	5265	2987
638	5275	2980
639	5285	2973
640	5292	2964
641	5300	2955
642	5308	2947
643	5315	2938
644	5322	2929
645	5330	2920
646	5338	2912
647	5346	2904
648	5355	2896
649	5361	2886
650	5369	2878
651	5377	2870
652	5386	2862
653	5394	2853
654	5404	2846
655	5413	2838
656	5422	2830
657	5430	2822
658	5444	2817
659	5454	2809
660	5465	2802
661	5480	2798
662	5491	2791
663	5502	2784
664	5516	2779
665	5525	2771
666	5532	2762
667	5542	2754
668	5550	2746
669	5559	2738
670	5568	2730
671	5577	2722
672	5585	2713
673	5594	2705
674	5601	2697
675	5612	2689
676	5618	2680
677	5626	2672
678	5634	2663
679	5643	2655
680	5653	2648
681	5662	2640
682	5672	2632
683	5679	2623
684	5688	2615
685	5697	2607
686	5707	2600
687	5717	2592
688	5726	2584
689	5735	2576
690	5742	2567
691	5751	2559
692	5760	2551
693	5771	2544
694	5779	2536
695	5785	2527
696	5792	2518
697	5803	2510
698	5811	2502
699	5819	2494
700	5827	2485
701	5836	2477
702	5843	2468
703	5852	2460
704	5861	2452
705	5868	2443
706	5877	2435
707	5884	2426
708	5893	2418
709	5901	2410
710	5908	2401
711	5916	2393
712	5926	2385
713	5934	2377
714	5943	2369
715	5950	2360
716	5958	2352
717	5967	2343
718	5976	2335
719	5988	2328
720	5997	2320
721	6006	2312
722	6014	2304
723	6025	2296
724	6034	2288
725	6043	2280
726	6051	2272
727	6060	2264
728	6068	2255
729	6075	2247
730	6084	2239
731	6092	2230
732	6101	2222
733	6110	2214
734	6123	2207
735	6132	2199
736	6146	2193
737	6155	2185
738	6164	2177
739	6172	2168
740	6181	2160
741	6189	2152
742	6198	2144
743	6208	2136
744	6217	2128
745	6226	2119
746	6235	2111
747	6243	2103
748	6252	2095
749	6259	2086
750	6269	2078
751	6276	2069
752	6284	2061
753	6291	2052
754	6303	2045
755	6313	2037
756	6322	2029
757	6331	2021
758	6339	2013
759	6348	2004
760	6356	1996
761	6364	1987
762	6373	1979
763	6381	1971
764	6389	1962
765	6397	1954
766	6405	1945
767	6413	1937
768	6422	1929
769	6430	1920
770	6439	1912
771	6447	1904
772	6458	1896
773	6467	1888
774	6477	1880
775	6488	1872
776	6497	1864
777	6505	1856
778	6513	1847
779	6521	1839
780	6529	1831
781	6539	1822
782	6549	1815
783	6557	1806
784	6566	1798
785	6573	1789
786	6582	1781
787	6591	1773
788	6599	1764
789	6608	1756
790	6615	1747
791	6622	1739
792	6631	1731
793	6641	1723
794	6651	1715
795	6659	1706
796	6668	1698
797	6678	1690
798	6686	1682
799	6693	1673
800	6701	1665
801	6708	1656
802	6716	1647
803	6723	1639
804	6732	1630
805	6740	1622
806	6749	1614
807	6757	1605
808	6763	1596
809	6772	1588
810	6779	1579
811	6786	1571
812	6795	1563
813	6804	1554
814	6813	1546
815	6821	1538
816	6832	1530
817	6842	1522
818	6851	1514
819	6859	1505
820	6869	1497
821	6876	1489
822	6886	1481
823	6894	1472
824	6906	1465
825	6914	1456
826	6924	1448
827	6933	1440
828	6942	1432
829	6951	1423
830	6960	1415
831	6970	1407
832	6979	1399
833	6988	1391
834	6997	1382
835	7006	1374
836	7014	1365
837	7022	1357
838	7032	1349
839	7041	1341
840	7049	1332
841	7057	1324
842	7066	1316
843	7073	1307
844	7080	1298
845	7088	1290
846	7098	1282
847	7106	1273
848	7114	1265
849	7122	1256
850	7130	1248
851	7138	1240
852	7147	1231
853	7157	1223
854	7165	1215
855	7174	1206
856	7182	1198
857	7192	1190
858	7199	1181
859	7207	1173
860	7216	1165
861	7224	1156
862	7232	1148
863	7241	1139
864	7250	1131
865	7258	1123
866	7266	1114
867	7275	1106
868	7283	1098
869	7291	1089
870	7300	1081
871	7308	1072
872	7317	1064
873	7325	1056
874	7334	1047
875	7343	1039
876	7352	1031
877	7361	1022
878	7370	1014
879	7382	1006
880	7390	998
881	7398	989
882	7404	981
883	7414	972
884	7422	964
885	7431	956
886	7439	947
887	7447	939
888	7455	930
889	7463	922
890	7472	914
891	7480	905
892	7489	897
893	7497	888
894	7507	880
895	7515	872
896	7524	863
897	7532	855
898	7540	847
899	7549	838
900	7557	830
901	7568	822
902	7577	813
903	7586	805
904	7595	797
905	7608	789
906	7617	781
907	7626	772
908	7635	764
909	7644	756
910	7650	747
911	7658	738
912	7666	730
913	7674	722
914	7682	713
915	7690	705
916	7699	696
917	7707	688
918	7715	680
919	7722	671
920	7730	663
921	7739	654
922	7748	646
923	7757	638
924	7764	629
925	7772	621
926	7778	612
927	7787	604
928	7795	595
929	7803	587
930	7812	578
931	7820	570
932	7828	562
933	7837	553
934	7845	545
935	7853	537
936	7861	528
937	7870	520
938	7879	511
939	7889	503
940	7898	495
941	7908	486
942	7918	478
943	7927	470
944	7936	461
945	7945	453
946	7955	445
947	7964	436
948	7973	428
949	7982	420
950	7991	411
951	7999	403
952	8006	394
953	8014	386
954	8021	377
955	8029	369
956	8037	361
957	8046	352
958	8054	344
959	8063	335
960	8072	327
961	8079	319
962	8088	310
963	8096	302
964	8106	294
965	8115	285
966	8123	277
967	8130	268
968	8139	260
969	8147	251
970	8155	243
971	8164	235
972	8172	226
973	8180	218
974	8187	209
975	8195	201
976	8203	193
977	8210	184
978	8220	176
979	8230	167
980	8238	159
981	8247	151
982	8260	142
983	8269	134
984	8278	126
985	8286	117
986	8295	109
987	8303	100
988	8312	92
989	8321	84
990	8329	75
991	8338	67
992	8346	58
993	8355	50
994	8363	42
995	8371	33
996	8379	25
997	8388	16
998	8396	8
999	8405	0
